Net,li1,met1,met2,met3,met4,met5,
_00184_,100.00%,100.00%,0.00%,NA,NA,NA,
_00185_,100.00%,100.00%,0.00%,NA,NA,NA,
_00186_,50.00%,93.53%,0.00%,NA,NA,NA,
_00187_,100.00%,100.00%,100.00%,NA,NA,NA,
_00188_,100.00%,100.00%,0.00%,NA,NA,NA,
_00189_,100.00%,100.00%,NA,NA,NA,NA,
_00190_,100.00%,100.00%,100.00%,NA,NA,NA,
_00191_,100.00%,100.00%,100.00%,NA,NA,NA,
_00192_,100.00%,100.00%,100.00%,NA,NA,NA,
_00193_,100.00%,100.00%,100.00%,NA,NA,NA,
_00194_,100.00%,100.00%,100.00%,NA,NA,NA,
_00195_,100.00%,100.00%,0.00%,NA,NA,NA,
_00196_,100.00%,100.00%,0.00%,NA,NA,NA,
_00197_,100.00%,100.00%,100.00%,NA,NA,NA,
_00198_,100.00%,100.00%,NA,NA,NA,NA,
_00199_,100.00%,100.00%,100.00%,NA,NA,NA,
_00200_,100.00%,100.00%,0.00%,NA,NA,NA,
_00201_,100.00%,100.00%,100.00%,NA,NA,NA,
_00202_,100.00%,100.00%,100.00%,NA,NA,NA,
_00203_,100.00%,100.00%,0.00%,NA,NA,NA,
_00204_,89.71%,89.25%,100.00%,NA,NA,NA,
